classifier,accuracy,recall,precision,f1_score
SVC,0.9512085944494181,0.9286486486486486,0.9719026965868376,0.9497834700082926
PassiveAggressiveClassifier,0.9427931960608773,0.9355621964886066,0.9445596831981897,0.9400394107159614
RandomForestClassifier,0.9361683079677708,0.9187956204379562,0.9494625683575335,0.9338773996104981
MultinomialNB,0.9333930170098478,0.9404830917874396,0.9177823873279276,0.9289940828402367
AdaBoostClassifier,0.8461056401074306,0.7767140210006177,0.9485197058268905,0.8540623142881401
KNeighborsClassifier,0.7630259623992838,0.8310069790628115,0.6287007354327739,0.7158346752549651
